date,amt,category_EROGAZIONE FINANZIAMENTO,category_INCASSO FATTURA,category_PAGAMENTO FATTURA,category_PAGAMENTO FORNITORI,category_RIMBORSO FINANZIAMENTO,category_STIPENDI,category_UTENZE
2022-01-04,5000.0,0,1,0,0,0,0,0
2022-01-13,4800.0,0,1,0,0,0,0,0
2022-01-15,-6000.0,0,0,0,0,0,1,0
2022-01-15,-1200.0,0,0,0,0,1,0,0
2022-01-22,5400.0,0,1,0,0,0,0,0
2022-01-30,-800.0,0,0,0,0,0,0,1
2022-01-31,5466.67,0,1,0,0,0,0,0
2022-01-31,-4000.67,0,0,0,1,0,0,0
2022-02-09,5666.67,0,1,0,0,0,0,0
2022-02-09,-3800.67,0,0,0,1,0,0,0
2022-02-15,-6000.0,0,0,0,0,0,1,0
2022-02-15,-1200.0,0,0,0,0,1,0,0
2022-02-18,5866.67,0,1,0,0,0,0,0
2022-02-18,-4300.67,0,0,0,1,0,0,0
2022-02-27,6066.67,0,1,0,0,0,0,0
2022-02-27,-4334.0,0,0,0,1,0,0,0
2022-02-28,-804.49,0,0,0,0,0,0,1
2022-03-08,6266.67,0,1,0,0,0,0,0
2022-03-08,-4484.0,0,0,0,1,0,0,0
2022-03-15,-6000.0,0,0,0,0,0,1,0
2022-03-15,-1200.0,0,0,0,0,1,0,0
2022-03-17,6466.67,0,1,0,0,0,0,0
2022-03-17,-4634.0,0,0,0,1,0,0,0
2022-03-26,6666.67,0,1,0,0,0,0,0
2022-03-26,-4784.0,0,0,0,1,0,0,0
2022-03-29,-802.15,0,0,0,0,0,0,1
2022-04-04,6866.67,0,1,0,0,0,0,0
2022-04-04,-4934.0,0,0,0,1,0,0,0
2022-04-13,7066.67,0,1,0,0,0,0,0
2022-04-13,-5084.0,0,0,0,1,0,0,0
2022-04-15,-6000.0,0,0,0,0,0,1,0
2022-04-15,-1200.0,0,0,0,0,1,0,0
2022-04-22,7266.67,0,1,0,0,0,0,0
2022-04-22,-5234.0,0,0,0,1,0,0,0
2022-04-27,-809.96,0,0,0,0,0,0,1
2022-05-01,7466.67,0,1,0,0,0,0,0
2022-05-01,-5384.0,0,0,0,1,0,0,0
2022-05-10,7666.67,0,1,0,0,0,0,0
2022-05-10,-5534.0,0,0,0,1,0,0,0
2022-05-15,-6000.0,0,0,0,0,0,1,0
2022-05-15,-1200.0,0,0,0,0,1,0,0
2022-05-19,7866.67,0,1,0,0,0,0,0
2022-05-19,-5684.0,0,0,0,1,0,0,0
2022-05-26,-808.45,0,0,0,0,0,0,1
2022-05-28,8066.67,0,1,0,0,0,0,0
2022-05-28,-5834.0,0,0,0,1,0,0,0
2022-05-30,10000.0,1,0,0,0,0,0,0
2022-06-06,8266.67,0,1,0,0,0,0,0
2022-06-06,-5984.0,0,0,0,1,0,0,0
2022-06-15,-8000.0,0,0,0,0,0,1,0
2022-06-15,8466.67,0,1,0,0,0,0,0
2022-06-15,-6134.0,0,0,0,1,0,0,0
2022-06-15,-1700.0,0,0,0,0,1,0,0
2022-06-24,-808.56,0,0,0,0,0,0,1
2022-06-24,8666.67,0,1,0,0,0,0,0
2022-06-24,-6284.0,0,0,0,1,0,0,0
2022-07-03,8866.67,0,1,0,0,0,0,0
2022-07-03,-6434.0,0,0,0,1,0,0,0
2022-07-12,9066.67,0,1,0,0,0,0,0
2022-07-12,-6584.0,0,0,0,1,0,0,0
2022-07-15,-8000.0,0,0,0,0,0,1,0
2022-07-15,-1700.0,0,0,0,0,1,0,0
2022-07-21,9266.67,0,1,0,0,0,0,0
2022-07-21,-6734.0,0,0,0,1,0,0,0
2022-07-23,-820.0,0,0,0,0,0,0,1
2022-07-30,9466.67,0,1,0,0,0,0,0
2022-07-30,-6884.0,0,0,0,1,0,0,0
2022-08-08,9666.67,0,1,0,0,0,0,0
2022-08-08,-7034.0,0,0,0,1,0,0,0
2022-08-15,-8000.0,0,0,1,0,0,0,0
2022-08-15,-1700.0,0,0,0,0,1,0,0
2022-08-17,9866.67,0,1,0,0,0,0,0
2022-08-17,-7184.0,0,0,0,1,0,0,0
2022-08-21,-850.0,0,0,0,0,0,0,1
2022-08-26,10066.67,0,1,0,0,0,0,0
2022-08-26,-7334.0,0,0,0,1,0,0,0
2022-09-04,10266.67,0,1,0,0,0,0,0
2022-09-04,-7484.0,0,0,0,1,0,0,0
2022-09-13,10466.67,0,1,0,0,0,0,0
2022-09-13,-7634.0,0,0,0,1,0,0,0
2022-09-15,-8000.0,0,0,1,0,0,0,0
2022-09-15,-1700.0,0,0,0,0,1,0,0
2022-09-19,-853.45,0,0,0,0,0,0,1
2022-09-22,10666.67,0,1,0,0,0,0,0
2022-09-22,-7784.0,0,0,0,1,0,0,0
2022-10-01,10866.67,0,1,0,0,0,0,0
2022-10-01,-7934.0,0,0,0,1,0,0,0
2022-10-10,11066.67,0,1,0,0,0,0,0
2022-10-10,-8084.0,0,0,0,1,0,0,0
2022-10-15,-8000.0,0,0,1,0,0,0,0
2022-10-15,-1700.0,0,0,0,0,1,0,0
